cdf_fire_diff,usgs_fire_diff
,devils den
,devils gap
,devils gulch
,devore 2
,dewolf
,dexter
,dexter #2
,diablo canyon
,diamond
,diamond bar fire
,diane
,diaz
,diefenderfer
,diego
,diller
,dineley
,ditch
,ditto
,divide fire
,division
,dixie fire
,dobbyn 1-57
,dobie
,dog
,dog creek
,dogbar
,dogpatch #2
,dogpatch #6
,dolcini
,dollar
,dome
,dome2
,donner
,donovan
,doolittle
,dorst
,dos amigos
,dos palmas
,dougherty
,douglas
,dow
,doyle
,dredge
,driftwood
,drip
,drivers
,dry
,dry valley
,dulce
,dulzura
,dump
,dunbar
,duncan
,dunne
,dunnigan
,dunstone
,dunton
,durham pentz #1
,durham pentz #2
,dusty
,dutchman
,dyer
,dyer incident
,eade
,eagle lake fire
,eagle peak
,early
,early fire
,east grade
,east leconte
,eastfork
,eastmam
,eastside fire
,echo
,echo cree
,echo wfu
,eclipse
,edgemont
,edgewood
,edison
,edmondson
,edna
,edson
,egg
,egle
,eighty
,eighty eight fire
,el chorro
,el mirage
,el moro
,elbow
,elder
,elderwood
,eleanor
,electra
,elephant hill fire
,elk 2
,elk hills 2
,elkhorn
,ellis 2
,ellis mdw
,elloit
,elm
,emerald
,emerald fire
,emigdio
,emma
,encinal
,encino
,energy
,engelhart
,engine 93
,engineers
,ennis
,erreca
,erskin
,escapete
,escondido
,esparanza
,espinosa
,estate
,estates
,estell
,estrella
,etsel
,eucalyptus
,evans
,ever
,evergreen 2
,excelsior
,explosives
,extension
,f
,"f"""""
,"f"""" fire"
,fairbanks
,fairmont
,fairvew
,falcon
,fall
,fandango
,farralone fire 46 ac
,fawn incident
,fawndale
,feather falls
,feed
,feeder
,felipe complex
,felkner
,fenton
,fiddyment
,field
,figuero
,fine
,fire #3
,firestone
,first
,fisher
,fisher -lime complex
,five dogs
,five mile fire
,five points
,fivemile
,fk 1817
,fku 5788
,flea
,fleener
,fletcher
,flint peak fire
,flintridge fire
,flores
,florida
,floriston
,flowind
,foley
,folsom
,foot
,foothill
,foothill fire
,forbidden
,ford point
,foresta #1
,forestgate
,foresthill
,forks
,fort/copper
,forus
,"four """"s"""""
,four mile
,fourmile
,fouts
,foxlane fire
,frame
,frank
,frankish
,franklin
,franklin series
,frazier
,freccero
,frecot
,freds
,free
,freedom
,freeman
,freeway fire
,freeway fire i
,freeway fire ii
,freeway fire no ii
,freeway ic fire
,freeway_complex
,fremont
,fresno
,fresno#33
,friant
,fricot
,friday
,friend-darnell
,fritz
,frog creek
,frontier
,frying pan
,fuller
,funston
,g
,"g"""" fire"
,galitza
,gallatin fire
,garcia
,garlic
,garlinger
,garner
,garrison
,gas point #1
,gas point road
,gassner
,gates complex
,gator
,gaviota
,geary
,geneseo
,geo
,geysers fire
,ghost
,giant
,gib
,gibbck
,gibbei
,gibbon
,gibonney
,gibrel
,gilardi 1
,gilbreth
,gilead
,gilmer
,girard
,gird
,glacier
,glacier point
,glen aulin
,glen helen  2
,glen oaks canyon fire
,glenbrook
,glendale fire
,glendora fire
,glenwood
,globe
,go
,gobbler
,godde fire
,goff
,gold
,gold valley
,goldledge
,golf
,gomez
,gondola
,gonzo
,gooch
,goodenough
,gopher #3
,gopher 7
,gordon
,gorge
,gorman
,gorman fire
,gould
,government
,grace
,grade 2
,graham
,grand incident
,grande ic
,granite ii
,grantline #2
,grape vine
,grapevine-08
,grass valley
,grave
,graves
,grease
,greeley
,green
,green gulch
,green meadows
,green river
,greenhorn
,greenridge
,greenridge #6
,greenspot
,greig
,grey lodge
,griffith park
,grigory
,grimes fire
,groovy
,groundhog
,groves
,grub
,grunder
,guadalupe
,guadelupe/mpud 127
,guejiuto
,guenoc
,guiberson
,guidotti
,gulch fire
,gulch3
,gun
,gun fire
,h fire
,h. ranch
,hackberry
,hacker
,haibach
,haigh fire
,half
,half-lime complex
,halfway
,halloran
,haloween
,halstead3
,hamilton
,hamm
,hampshire
,hancock
,hanes #1
,hanson
,harbison
,harden wfu
,hardin
,harding
,hardy creek lightning
,harley
,harney
,harper
,harrington
,harrison
,hart
,hartman
,harvey
,haskell
,haskell fire
,hasley fire
,hasloe
,hatchery
,haul
,hauser
,havilah 2
,hawk
,hawkinsville
,hayes
,haypress
,hayward assist
,hazel
,hazen
,hazleton
,heacock
,headwater
,heald
,heaton
,helendale
,helester
,heliportw
,hemlock fire - july
,herlong
,hermit
,hetchy
,hickok
,hicks
,high
,high fire
,high glade
,highland fire
,highland valley rd.
,highline
,highrock
,highway 108 #2
,highway 128
,highway 18
,highway 41/ rd 209 3
,highway 58
,highway 70
,highway_198
,highway-16
,hiillview #1
,hill crest
,hills
,hillside
,hillside fire
,hiram
,hitchcock-lime complex
,hmrs nos2
,hoag 2
,hockett
,hockett fire
,hockett i
,hodges #2
,hog #2
,hogan
,hogback
,holbrook 2
,holland
,holser incident
,holy
,homestake 2
,homestead
,honcut
,honey incident
,honeydew
,honolulu
,hooker
,hope
,horn
,hornbrook
,hornitos
,horse
,horse (hull)
,horse fire
,horse linto
,horsethief ii
,horton
,horton 2
,hospital
,hotsprings
,hough
,houret
,howards
,howell
,howland
,hoy
,huasna
,hub
,huckleberry
,huffer pnf
,huffer wf
,hughes
,hughes fire
,humbug
,hungry
,hunter fire
,hunterliggettasst#7
,huntstock fire
,hurlbutt
,hurricane
,husky fire
,hutto
,hutton/corp #4
,hwy 120 #1
,hwy 120 #3
,hwy 128
,hwy 138 & 300 west fire
,hwy 140
,hwy 149
,hwy 162
,hwy 26 #3
,hwy 32
,hwy 4 #3
,hwy 41 east
,hwy 49
,hwy 49 #7
,hwy 62
,hwy 65
,hwy 91
,hwy 94
,hwy166
,hwy25
,hwy26 #2
,hyampom
,i-40
,i5
,i-5
,iagua
,iaqua
,ice
,ida
,idleberry
,idyllwild
,ill
,india
,indian 2
,indian peak
,indian springs
,indian valley-lime complex
,in-ko-pah
,interlake
,interstate
,iowa
,irene
,iron
,ironside-iron complex
,irvine
,island
,italian
,j. black
,j59#2
,jacalitos
,jack #1
,jack smith
,jack wf
,jackass
,jackrabbit
,jacks
,jade
,jake
,jalama
,jamacha
,james
,jameson
,janeway
,jarrel
,jasper
,jawbone
,jawbone 2
,jay
,jedidiah
,jeep
,jefferson
,jellys 1
,jellys 2
,jenkins fire
,jenson
,jewel
,jewell
,j-i/c fire
,jo
,joaquin
,johan
,johnson
,johnson fire
,johnson road fire
,joines
,jolon
,jonata
,jordan
,joshua fire
,journey
,julieanne
,jump
,junction fire
,june
,juniper fire
,junkyard
,k i c fire
,kagel fire
,keck
,kecks
,keddie
,kellogg
,kelly
,kemper
,kendrick
,kenetech #7
,kenewa incident
,kennedy
,kentucky
,kerlin
,kern
,kern co. fire 192 ac
,kern county #27
,keswick
,kettleman
,keuhner fire
,kevin
,key
,keys
,kibbe
,kibbie
,kibbie cmplx wf
,kibbie cmplx wfu
,king creek
,king fire
,king titus
,kings
,king's
,kingsley
,kingston
,kingston 2
,kingston 3
,kingston#1
,kinkaid
,kinneloa fire
,kirch
,kirk
,kiva
,kiwi
,knob
,knox
,koa
,koenigstein incident
,konda 3
,koopman
,krn 10261
,krn 9954
,kuehner incident
,kugelman
,la cresta
,la franchi
,la grange
,ladder
,lago
,laguna
,laguna 100
,laguna 2
,laguna fire
,lake - rx area
,lake fire
,lake hemet
,lake_canyon
,lake2
,lakepointe
,lakeshore
,lakeville
,lakewood
,lakin
,lamb
,lancaster
,lancaster fire
,lanes
,largo
,largovista
,lariat
,larkin
,larsen
,larson
,lassics
,latigo
,latigo fire
,lauerel wfu
,laurel lake 2
,laureles
,lava
,laval
,laver
,laverne
,lazy
,le conte
,le grand
,leary
,leconte
,leconte (spot)
,ledeit
,lee
,legrand
,lehigh
,lehr
,leon
,leona fire
,leroy fire
,letts
,levee
,lewin fire
,lewis
,lewis cr
,lewis creek fire
,lgt #17 (3-5)
,lgt #22 (3-9)
,lgt #25 (2-7)
,lichens
,light #37
,lightening fire
,lightning
,lightning # 29
,lightning # 40
,lightning #12
,lightning #120 (crank)
,lightning #14
,lightning #23
,lightning #28
,lightning #31
,lightning #6
,lightning #64
,lightning #84 (stent
,lightning #97 (bison)
,lightning 1
,lightning 2
,lightning 5
,lightning9
,likley
,lilac
,lilly
,lima fire
,lime
,lincoln city asst
,linda fire
,lindell
,lindsay
,linn
,linne
,little
,little - bar complex
,little buck
,little grider
,little juan creek (mrc)
,live oak
,live oak fire
,lmu dixie
,lobo
,lockwood
,lodge
,lodi
,lofty
,log
,logan (lee logan)
,lokern
,lokern two
,loma fire
,loma ridge
,lone
,lone oak rd.#2
,lone pine
,longjohn
,lonoak
,lookout
,lookout 2
,lookout2
,lopez
,loraine
,los alamos
,los banos
,los bueyos
,los cerritos
,los gatos
,los gatos #2
,los padres
,lost bear
,lost bear burno
,lost creek
,lost pipe
,lost valley
,louie
,louis
,lourence
,love
,loveland
,low gap
,lowe
,lowes cyn fire
,loyalton
,lt-17(backbone)
,lucas
,lucas #1
,lucas #2
,lucas #4
,luis
,luiz
,lukens
,lumber fire
,lunch
,lundy fire
,luz
,lyon
,lyons
,m-9
,madd fire
,maddalena
,madero
,madre
,magee
,maggie
,magoon
,main
,malech
,malibu
,mallard
,malt
,manning
,mansville
,manzanar fire
,manzanita springs
,manzanita#2
,marcos
,maria
,mariposa/mpud 137
,markley
,marple fire
,marr
,marron
,marshal
,martin
,martin ranch
,martin ranch #1
,martineck
,mary
,mary fire
,masonic
,mateo
,mathews
,matias
,matilija
,matthews
,mattole
,maxwell
,may
,maybert
,maywood
,mc clure
,mc kinley
,mc pherson
,mccain
,mcclure
,mccormick
,mccourtney
,mccoy
,mcewen
,mcganney
,mcgee
,mcguires
,mckittrick
,mckory
,mcmillan
,mcmillian
,mcoulloh
,mcphee
,mcpherson
,mcswain
,meadow ridge
,meadow wfu
,meadowlark incident
,meat_truck
,mebane
,medicine
,meeks
,megram
,melones #2
,melones #5
,mendiboureau
,merced
,merced fire
,mercury
,merrill
,merry christmas
,merwin
,mesa
,mesa #1
,mesa #3
,mesa #4
,mesquite
,mesquite 3
,metropolitan 2
,metson
,michaels
,michigan #4
,mid oil
,mid-basin west
,middle fire
,middle outlet lightning
,middle ridge
,middle t suppression
,middle t wfu
,midnight
,midoli 2
,miguel
,mile
,milford grade
,military
,mill creek 4
,mill2
,millard
,miller div w
,miller div x
,miller div y
,miller div z
,millerton
,mills
,mills fire
,mina
,mincey canyon
,mine/otay
,miners
,mines road
,mint
,minto
,minuteman
,miwto
,mix
,mocal
,mocassin
,mockingbird
,modesto energy
,modesto energy #2
,modjeska
,mojave
,moke
,momyer
,monarch
,monkey rock
,montezuma
,montgomery
,mooney
,moonlight
,morales
,moreno
,morman
,morrell
,morris
,morrison
,morrison incident
,moses
,mosquito
,mount
,mountain fire
,mouse two
,mowitz 1
,mrc #5
,mt baldy fire
,mt gleason fire/usfs
,mt st marys
,mt. house
,mt. jackson
,mud fire
,mud springs
,mudd
,muir grov
,mulberry
,muldoon
,mule
,mulholland fire
,munz
,mupu
,murken
,murphy
,murphy ridge
,music
,mussey
,musty
,muth
,mutton
,myers
,myrna
,myrtle
,n. glass
,nacasio
,nacimiento
,nader2 incident
,nature
,navarro
,neenach
,nees
,nehouse
,new
,new drub
,new idria
,newhall
,newport
,niagara
,nice
,nichols
,nicolaus
,nicolaus westland
,nielson
,nine
,nintey nine
,nipomo
,nobe
,nomans
,norman
,north crowder
,north mtn
,northern
,northfork
,nowhere
,nuns
,oak
,oak 2
,oak canyon fire
,oak creek
,oak glen 3
,oak hill
,oak run
,oakhill
,oasis fire
,oat
,observa
,observation complex
,obyrnes
,ocean fire
,odonovan
,o'donovan
,ogilvy
