cdf_fire_diff,usgs_fire_diff
,peppertree controlle
,perch
,perkins
,perris lake
,perry
,peterson
,peutz
,pfe
,pg & e #2
,pg&e
,pg&e #11
,pg&e #13
,pg&e #15
,pg&e #16
,pg&e #17
,pg&e #22
,pg&e #24
,pg&e #5
,pg&e #7
,pg&e #8
,pg&e#1
,pg&e#4
,pge 13
,phillips
,phoenix
,phyllip
,pickett
,pico
,pico fire
,pidgeon
,piedra
,pieita
,pigeon
,pilitas blm-1836
,pine  fire
,pine 1-44
,pine canyon fire
,pine creek
,pine hills
,pine valley
,pine_canyon
,pinecyn
,piney
,piney creek
,pinnacle
,pinnacles
,pinyon
,piper
,piru fire
,piru incident
,pit
,pitman
,pittsburg
,piuma
,placer
,placerita fire
,plaskett 2
,platina
,pleasure
,plumas nf #531 (clark)
,plunge
,po70creek
,pocket
,point
,poison
,pole fire
,polk
,polk fire
,pollard
,poly
,poly / a-4 7
,pond
,ponoche 2
,ponte
,pool 2 - main
,poplar
,poppet fire
,poppy
,poppy fire
,porcupine
,portal
,porter creek fire
,porter ranch
,poser
,poso
,potato
,potrero
,potrero 2
,potter
,potwisha
,pourier
,powderhouse
,powerhouse #2/#3
,powerhouse 2
,prairie
,prarie
,pratt
,pressley
,preston
,price
,priest fire
,primex
,princeton
,prison
,prospect peak
,pruitt
,prussian 2
,puente hills fire
,pulgas-basilone complex
,pump
,punch
,pushwalla
,pv
,pyramid
,q
,qeudow
,quail
,quail fire
,quailwash
,quaking
,quarry fire
,quartzite
,queen
,queens peak
,questhaven
,quien
,r. colla
,r-10 painter
,r-3 mud
,r-4 parsnip
,r-4 ranch
,r-5 spanish
,r-5 stoney
,r-9 shinn
,rabbit
,racetrack
,rack
,rafael
,railroad #4
,railroad #5
,ralston
,ram
,ramero
,ramirez
,ramp
,ranch fire
,ranch fire ii
,rancheria
,ranchita
,rancho 2
,rancho arroyo
,rancho arroyo/je
,rancho mission 4
,rancho mission1a
,rancho san carlos fire
,rankin
,raspberry
,rattlesna
,rave
,ray
,raymond
,rd 400
,rd_26
,read
,recer
,red bank
,red hill
,red mountain lightning
,red rock
,red star
,redcrest 2
,redfern
,redhill #2
,redlands
,redro
,redrock
,redwood retreat
,redwood valley
,reed
,reef
,refinery fire
,refuge
,relay
,relief
,reliz
,renner
,reptile
,requa
,research
,reserve
,retech
,reward
,rhapsody fire
,rhombus
,rhonda
,ri/escape
,ribbonwood
,ricbar
,rich bar
,richbar complex
,richie
,rico
,ridge fire
,ridge line
,ridge/heights
,rifle range
,rimrock
,rims
,rincon #2
,rincon#15
,riosa
,ripple
,ripstein
,ritts
,river ii
,riverbed
,riverbottom
,rivers
,riverside
,rmmw fire
,road
,road 2
,road 26
,roads
,roads end
,roadside
,roadside 3 4 5 6
,roadside 82
,roadside 83
,roadside 84
,roaring
,roblar 2
,roca
,rock (bsfmu #3)
,rock bsfmu a6
,rock creek 2
,rock fire
,rock/mpud 98
,rocklin_clover incident
,rocky village
,rocoso
,rodgigues
,rogge
,rollins
,rosa
,rosasco
,round mtn
,round mtn.
,roundup
,rouse
,rouse 1
,rouse 2
,rowell
,rowels
,rowher
,royal
,royce
,rube
,rubicon
,rubicon 1
,ruby fire
,ruff
,rumsey 2
,running
,runway
,russell complex
,russia
,rustic
,rusty
,ruth hill
,s. oakglen
,s.j. #10
,s.j. #3
,s1 duck
,sabina
,sabodan
,sacket
,sacred mtn. #5
,sage fire
,sage flat
,sagebrush
,sagehen
,saint claire
,sale
,saline
,salisbury
,salmon complex
,salt crk
,sample
,san antonio
,san antonio fire
,san bruno #9
,san bruno mt. #12
,san clemente
,san fernando fire
,san fran
,san fran fire
,san francisquito fire
,san juan
,san lucas
,san luis
,san martin
,san tim
,san timoteo
,san vicente
,san_antone
,san_antonio
,sand cyn
,sand flat
,sandbag
,sands
,sandy
,santa
,santa anita ii
,santa paula
,santa rosa
,santa_ynez
,santos
,sapra
,saratoga
,sargent
,sargents
,sargents 2
,sargents2
,savage
,savages
,saw
,sawtooth complex
,scales
,scales 1
,scarborou
,schaler
,schallock
,school
,school incident
,schoolhouse
,schott
,scooter
,scorpion
,scotch
,scotch fire
,scotchman
,scott
,seaton
,sebastain
,secata
,secert
,secret
,sedgwick
,segs
,seminole
,seneca
,sentinel
,sepulveda
,sepulveda pass
,sequioia
,sequoia fire
,sereda
,serpa
,serpentine
,sesnon fire
,sevenmile
,seven-mile
,seventy
,sexton i
,sexton ii
,shade
,shadow
,shaffer
,shaffer fire
,shamrock
,shamrock east
,shamrock west
,shannon
,shannon fire
,sharp
,shasta
,shastina
,shea
,shedd
,sheep #1
,sheep #2
,sheep #3
,sheep complex
,sheill
,shelby
,shelley
,shelly
,shelter
,shepard
,sherwood
,sherwood fire
,shields camp
,shields swwa
,shiells
,shingle
,shinn
,shoemaker
,shooting fire
,shoreline
,short
,shoshoni
,showers
,shu buck 5
,shu deadwo
,shu dersch
,shu east
,shu lightning-deadshot fire
,shu lightning-deck fire
,shu lightning-deerlick fire
,shu lightning-kirkman
,shu lightning-lower fire
,shu lightning-moon fire
,shu lightning-motion fire
,shu lightning-pine 1
,shu lightning-pine 2
,shu lightning-round
,shu lightning-shingletown
,shu lightning-stein fire
,shu lightning-venture
,shu lightning-withrow
,sibley #2
,sieber
,sierra
,sierra fire
,signal
,silacci
,silaxo
,sill
,sillimancr
,silva
,silver queen
,silverado_2
,simi fire
,simmler
,simpson
,sims
,sinclair
,singleton
,sisar
,sisters
,site 300
,sites_complex
,sixteen_complex
,sixth
,sixty-five 2
,skedaddle
,skeggs
,skeleton
,skull
,skunk
,sky valley
,skye
,slattery
,slaughterhouse
,slc-4
,slide bluf
,sloan
,sloan fire
,sloane
,slu 1059
,slu 1461
,slu 1785
,slu-0864
,slu1148
,slu-1366
,slu-1544
,slu-1690
,slu-730
,slu-966
,slump
,smally
,smart
,smartville
,smiley
,smith
,smoke
,smoot
,smud #1
,snag complex
,snake
,snake/cargyle2
,snow
,snow brush
,soda cree
,soda ii
,soldier
,soledad
,soledad fire
,solomons
,somes
,sonora
,soup 1
,soup 2
,source
,south beale
,south hills fire
,south ridge
,south turner
,south-frey
,spanish 11
,spanish trail
,sparks
,spearhead
,spencer
,spenceville
,sphinx
,"spi #12 """"mill creek #2"""""
,"spi #3 """"sourgrass"""""
,"spi #4 """"mill creek #1"""""
,"spi #5 """"winton"""""
,"spi #6 """"spur 4"""""
,spicer
,spider
,spring peak
,spring/mpud 133
,springs #361
,spruce
,spunky
,spunky fire
,squaw
,st. pauli
,stables fire
,stag
,stagel
,stallion fire
,standard
,stanley
,stanza
,starr king
,starr lake
,state 1060
,state 1179
,state 1458
,state 1587
,state park
,stateca 17
,station
,steamboat
,steckel
,steele
,steelhead 1-54
,stephens
,sterling
,steve
,stevenson
,steward (main)
,stewart
,stine
,stinson
,stockdale
,stockton
,stoddard 3
,stoddard#2
,stokes
,stoney
,storksbill
,stormy
,storrs
,straw
,strike
,stuarts
,stuhr accident
,stweart
,success
,sudden
,suey incident
,suey ranch
,suey ranch west
,sugar
,sugar pine
,sugarlaof
,sugarloaf
,sulpher
,summit3
,sunny
,sunnybrook
,sunnyside
,sunrise #2
,sunset
,surveyors
,susanna fire
,sutherland
,suwanee w
,swasey
,swift le-7
,swillup ii
,swim
,sycamore fire
,sycamore incident
,sylmar fire
,table mtn
,taft
,taliaferro
,tamarack wfu
,tank
,tanner
,tapo
,tea
,tecalote
,tecate
,tecate #4
,tecate #44
,tecate #8
,tecate#18
,tecolote
,tecopa
,tectah
,tehama
,tehon fire
,tejon
,telephone
,telescope
,temblor
,temecula
,templin
,templin fire
,ten bald
,ten mile
,tenaja
,tenant
,termo
,terrebonne fire
,texas canyon fire
,t-grove
,tgu denny
,the adobe fire
,"the ave """"l"""" fire"
,the burke fire
,the cypress fire
,the johnson fire
,the meadow fire
,the paradise fire
,the piru fire
,the pyramid fire
,the ranch fire
,the verdale fire
,the westlake fire
,theodore
,thing #2
,thomes
,thompson_cyn
,thorton
,three
,thurman
,tid #2
,tierney
,tierra
,timber
,timm
,tinta
,titus
,tivy
,tobin
,toll
,tollhouse
,tom
,tom martin
,tomahawk- basilone complex
,tombstone
,top
,toro
,toughnut
,tovey
,tovey fire
,tower
,tower ii
,tower rock
,townes
,towsley
,towsley fire
,trabuco
,tramway
,trash cyn fire
,trauner
,travis
,travis 1
,treasure
,tree fire
,treloar complex
,triangle
,trilogy
,trimmer 2
,triple fire
,trojan point
,trona
,trotter fire
,trough #1-iron complex
,trout
,truck
,trw
,tubbs
,tucker
,tujunga
,tuk
,tulley
,tulloch
,tullock
,tumey
,tunawee
,tunnel
,tuolumne
,tuolumne wf
,tuolumne wfu
,tupman
,turchet
,turkey fire
,turkey run
,turnbull fire
,turtle
,tuscan
,tuttletown
,twelve
,twenty
,twenty_nine
,twentyfive
,twenty-nine
,twin
,twin bridges
,twins
,twisselman
,twisslman
,twist
,two
,u.s.f.s. #14
,uknown
,ukonom
,uncles
,unit #
,unit #5
,united
,unknown
,upper
,upper coon
,upper santa ana escape
,urrotia
,urrutia
,usfs #35 shf (bally)
,usfs assist 3
,usl
,utc
,vaca
,valente
,vallecito
,vallecitos
,valley 2
,valley fire
,valley view
,van dollen
,van horn
,vander-bowen
,vann
,vaqueros
,verbnia-state 820
,verdale
,verdugo
,vern
,vieux
,viewridge fire
,villa fire
,vinegar
,vineyard
,vintage
,vipel
,viper
,virginia
,visitor
,vista fire
,vuelta
,w
,w turner
,wagner complex
,wagon
,wagon fire
,wagy
,wakefield
,waldo 2
,walker cabin
,wallow
,walnut incident
,waltz
,wapama wfu
,warm springs
,warner 1-1
,warnerville
,warren
,warthan
,wash
,washburn
,washington
,waterman 3
,waterspout #1
,watkins
,watts
,waverley
,waverly
,wayman
,wayside
,webb fire
,webb fire ii
,weed
,weekend
,weller
,wendy incident
,wengler
,wentzel
,west butte
,west butte fire
,west crockett
,west fire
,west fire no ii
,west fire no. 2
,west kern
,westfall
,westfield
,westlake
,westlake fire
,westlake incident
,westley
,westville
,whaleback
,wheatland
,wheats
,wheel #1 & #2
,wheeler #2
,whit
,white #2
,white cascade
,white hurst
,white rock series
,whitehorse fire
,whitepine
,whiterock
,whites hill
,whites hill 2
,whitewater
,whitley
,whitlock
,whitney
,whittemore
,wick
,wickiup
,widow inc.
,wiggell
,wildcat 1-51
,wilder
,wilderness
,wildhorse
,wildlife
,wildwood fire
,wildwood i
,williams ridge we
,willie
,willits watershed
,willms
,willow 3
,willow springs
,willy
,wilmer
,wilmot
,wilms
,wilson
,wilson branch 1
,wilson branch 2
,winchester 1-47
,winchester#1
,wind gap
,windy
,wingate
,winnebago
,winters
,wise
,wishon
,witcher
,wizard
,wofford
,wolf
,wolfskill br3
,wolfskill complex
,wooden fire
,woodleaf
,woodlot
,wooley
,workman fire
,wunpost
,yager
,yaqui
,yard
,yeager incident
,yokhol
,yokohl
,yolla
,yolo
,yorba
,yorba linda
,yosemite
,ysabel
,yucca fire
,zam assist
,zenon
,ziegler-iron complex
